Республика Адыгея	Адыгея,385
Республика Алтай,649
Республика Башкортостан	Башкирия,450
Республика Бурятия,670
Республика Дагестан,367
Донецкая Народная Республика,ДНР,283
Республика Ингушетия,386
Кабардино-Балкарская Республика,КБР,360
Республика Калмыкия,358
Карачаево-Черкесская Республика	Карачаево-Черкесия,369
Республика Карелия,185
Республика Коми,167
Республика Крым	Крым,295
Луганская Народная Республика,ЛНР,291
Республика Марий Эл,424
Республика Мордовия,430
Республика Саха	Якутия,677
Республика Северная Осетия - Алания	Северная Осетия,362
Республика Татарстан,Татарстан,420
Республика Тыва,Тува,667
Удмуртская Республика,Удмуртия,426
Республика Хакасия,655
Чеченская Республика,Чечня,364
Чувашская Республика,Чувашия,428
Алтайский край,656
Забайкальский край,672
Камчатский край,683
Краснодарский край,350
Красноярский край,660
Пермский край,614
Приморский край,690
Ставропольский край,355
Хабаровский край,680
Амурская область,675
Архангельская область,163
Астраханская область,414
Белгородская область,308
Брянская область,241
Владимирская область,600
Волгоградская область,400
Вологодская область,160
Воронежская область,394
Запорожская область,269
Ивановская область,153
Иркутская область,664
Калининградская область,236
Калужская область,248
Кемеровская область,Кузбасс,650
Кировская область,610
Костромская область,156
Курганская область,640
Курская область,305
Ленинградская область,187
Липецкая область,398
Магаданская область,685
Московская область,140
Мурманская область,183
Нижегородская область,603
Новгородская область,173
Новосибирская область,630
Омская область,644
Оренбургская область,460
Орловская область,302
Пензенская область,440
Псковская область,180
Ростовская область,344
Рязанская область,390
Самарская область,443
Саратовская область,410
Сахалинская область,693
Свердловская область,620
Смоленская область,214
Тамбовская область,392
Тверская область,170
Томская область,634
Тульская область,300
Тюменская область,625
Ульяновская область,432
Херсонская область,273
Челябинская область,454
Ярославская область,150
Москва,101
Санкт-Петербург,190
Севастополь,290
Еврейская автономная область,679
Ненецкий автономный округ,166
Ханты-Мансийский автономный округ,Югра,628
Чукотский автономный округ,689
Ямало-Ненецкий автономный округ,629
